           chr     start       end closest.active.gene
166363   chr10 112070247 112221731              SMNDC1
166896   chr10 112112897 112225060               DUSP5
168096   chr10 112112897 112225060               DUSP5
169063   chr10 112070247 112221731              SMNDC1
171937   chr10 112155006 112175553               DUSP5
175603   chr10 112157305 112187032               DUSP5
178510   chr10 112152003 112191176               DUSP5
179296   chr10 112152003 112191176               DUSP5
180289   chr10 112154897 112191506               DUSP5
183115   chr10 112148001 112189425               DUSP5
184353   chr10 112152046 112189472               DUSP5
185478   chr10 112109981 112187404              SMNDC1
186729   chr10 112152356 112187386               DUSP5
189534   chr10 112111398 112186588              SMNDC1
190106   chr10 112147492 112187354               DUSP5
190725   chr10 112134711 112186307              SMNDC1
192005   chr10 112152314 112177457               DUSP5
197156   chr10 112154768 112177289              SMNDC1
198120   chr10 112154750 112187124               DUSP5
199989   chr10 112154760 112177288               DUSP5
200436   chr10 112133952 112198167               DUSP5
201606   chr10 112152153 112187451               DUSP5
205807   chr10 112146969 112219237               DUSP5
208604   chr10 112153965 112177236               DUSP5
210012   chr10 112171945 112265007               DUSP5
217922   chr10 112147489 112190897               DUSP5
218835   chr10 112152399 112192867               DUSP5
219898   chr10 112151343 112180490               DUSP5
220445   chr10 112147346 112191989               DUSP5
230235   chr10 112155341 112189187               DUSP5
231877   chr10 112152041 112188336               DUSP5
232832   chr10 112157320 112187713               DUSP5
234450   chr10 112152980 112187475               DUSP5
234957   chr10 112152167 112190352               DUSP5
236096   chr10 112147842 112187236               DUSP5
238490   chr10 112157533 112187803               DUSP5
240915   chr10 112151897 112192469               DUSP5
241779   chr10 112156361 112178288               DUSP5
242335   chr10 112152090 112187463               DUSP5
243512   chr10 112134668 112187435              SMNDC1
243788   chr10 112135272 112188196               DUSP5
245808   chr10 112154733 112182124               DUSP5
247052   chr10 112155116 112187445               DUSP5
260398   chr10 112157105 112187446               DUSP5
263834   chr10 112147250 112187623               DUSP5
264192   chr10 112151885 112209732               DUSP5
281539   chr10 112153220 112191168               DUSP5
284552   chr10 112112741 112177937              SMNDC1
301969   chr10 112112662 112221369               DUSP5
305641   chr10 112151998 112220461               DUSP5
306503   chr10 112155044 112191254               DUSP5
307022   chr10 112167309 112220254               DUSP5
313659   chr10 112152392 112190194               DUSP5
316452   chr10 112151777 112187379               DUSP5
318311   chr10 112154435 112187506               DUSP5
318663   chr10 112152130 112189420               DUSP5
319573   chr10 112147828 112190082               DUSP5
320264   chr10 112147844 112190266               DUSP5
324137   chr10 112147298 112192430               DUSP5
324724   chr10 112147193 112192454               DUSP5
325412   chr10 112151795 112192278               DUSP5
325943   chr10 112147177 112192462               DUSP5
326570   chr10 112147170 112192710               DUSP5
327257   chr10 112147161 112192451               DUSP5
328289   chr10 112062581 112222212              SMNDC1
329992   chr10 112147308 112192328               DUSP5
330666   chr10 112151373 112192422               DUSP5
7793     chr10 121410221 121447375                BAG3
15891    chr10 121410289 121447247                BAG3
16995    chr10 121410186 121447272                BAG3
24039    chr10 121409819 121450471                BAG3
24665    chr10 121410229 121442536                BAG3
25190    chr10 121410057 121442030                BAG3
32463    chr10 121410144 121447100                BAG3
40240    chr10 121414825 121447599                BAG3
45799    chr10 121435472 121447241                BAG3
46562    chr10 121414194 121447223                BAG3
51985    chr10 121411512 121447687                BAG3
55369    chr10 121410223 121447490                BAG3
61396    chr10 121410837 121447545                BAG3
62068    chr10 121409913 121447937                BAG3
63758    chr10 121413688 121446375                BAG3
63958    chr10 121414548 121447354                BAG3
70051    chr10 121410041 121447396                BAG3
70984    chr10 121409995 121447304                BAG3
71723    chr10 121409775 121447462                BAG3
72476    chr10 121410119 121447444                BAG3
73267    chr10 121409152 121442976                BAG3
74544    chr10 121409974 121447002                BAG3
75142    chr10 121409679 121447056                BAG3
77275    chr10 121409757 121447574                BAG3
77819    chr10 121409772 121447549                BAG3
80249    chr10 121409830 121447327                BAG3
84339    chr10 121409241 121447555                BAG3
88328    chr10 121409858 121447800                BAG3
89825    chr10 121393055 121447437                BAG3
90624    chr10 121409581 121442866                BAG3
105306   chr10 121412426 121448264                BAG3
112386   chr10 121409994 121448877                BAG3
125798   chr10 121410072 121447119                BAG3
126872   chr10 121410118 121447469                BAG3
130007   chr10 121409991 121447734                BAG3
133942   chr10 121413901 121483639              INPP5F
147819   chr10 121426836 121447719                BAG3
153702   chr10 121401740 121447811                BAG3
155706   chr10 121410134 121447534                BAG3
157563   chr10 121409693 121447785                BAG3
158820   chr10 121409834 121453951                BAG3
159759   chr10 121412548 121447732                BAG3
161171   chr10 121409874 121453734                BAG3
168977   chr10 121439208 121469868              INPP5F
169830   chr10 121439618 121469842              INPP5F
175225   chr10 121409649 121448138                BAG3
176171   chr10 121426786 121447301                BAG3
176548   chr10 121413957 121447569                BAG3
179493   chr10 121412446 121447322                BAG3
189053   chr10 121409844 121447723                BAG3
189655   chr10 121409650 121442506                BAG3
189793   chr10 121385405 121503345                BAG3
190620   chr10 121414048 121503238              INPP5F
191836   chr10 121410119 121447288                BAG3
192376   chr10 121417895 121504502              INPP5F
207452   chr10 121414647 121443652                BAG3
212510   chr10 121409900 121447731                BAG3
227986   chr10 121410067 121447652                BAG3
228489   chr10 121409900 121447657                BAG3
229069   chr10 121412494 121447332                BAG3
241206   chr10 121409880 121447468                BAG3
245305   chr10 121410117 121447493                BAG3
245677   chr10 121409654 121448617                BAG3
246752   chr10 121410163 121442542                BAG3
250862   chr10 121409807 121448053                BAG3
252796   chr10 121402043 121447854                BAG3
260383   chr10 121409838 121448127                BAG3
290259   chr10 121412580 121442602                BAG3
290488   chr10 121410187 121446583                BAG3
291201   chr10 121412867 121446641                BAG3
298291   chr10 121409751 121451154                BAG3
299377   chr10 121409460 121451095                BAG3
302469   chr10 121413816 121454701                BAG3
304607   chr10 121410090 121447383                BAG3
305117   chr10 121410205 121447461                BAG3
305595   chr10 121409942 121447785                BAG3
306171   chr10 121410098 121446774                BAG3
307539   chr10 121414263 121462709                BAG3
308105   chr10 121414304 121462243                BAG3
316010   chr10 121409946 121447579                BAG3
316231   chr10 121412546 121503137              INPP5F
321900   chr10 121409749 121447781                BAG3
324617   chr10 121409720 121442953                BAG3
325033   chr10 121409769 121442839                BAG3
325694   chr10 121409734 121442954                BAG3
326341   chr10 121409614 121443875                BAG3
327002   chr10 121409590 121443854                BAG3
327568   chr10 121409779 121442918                BAG3
328674   chr10 121409484 121443810                BAG3
329639   chr10 121409505 121442932                BAG3
330324   chr10 121409667 121443495                BAG3
331113   chr10 121409751 121443650                BAG3
105017   chr10 124208933 124264814               HTRA1
22073    chr10 127903480 127958857              ADAM12
38721    chr10 127886949 127959767              ADAM12
39247    chr10 127886796 127960272              ADAM12
60001    chr10 127858084 127959924              ADAM12
64171    chr10 127911046 127943476              ADAM12
70188    chr10 127898168 127953945              ADAM12
136655   chr10 127818563 127959662              ADAM12
142466   chr10 127882864 127958907              ADAM12
156510   chr10 127884375 127960051              ADAM12
193045   chr10 127896450 127954474              ADAM12
221386   chr10 127885825 127953941              ADAM12
229966   chr10 127886794 127943249              ADAM12
231470   chr10 127886868 127953540              ADAM12
232247   chr10 127884966 127961924              ADAM12
233511   chr10 127902999 127960679              ADAM12
235015   chr10 127875111 127943266              ADAM12
285870   chr10 127896614 127954585               FANK1
289005.1 chr10 127729913 127953965              ADAM12
291906   chr10 127885348 127944804              ADAM12
296676   chr10 127885348 127944804              ADAM12
297340   chr10 127885475 127951680              ADAM12
301182   chr10 127878865 127944205              ADAM12
48243    chr11  47867645  47903429              NUP160
59120    chr11  47868768  47922461              NUP160
308454   chr11  47880278  47892098              NUP160
308698   chr11  47867528  47907920              NUP160
310334   chr11  47867385  47908029              NUP160
316723   chr11  47878177  47894275              NUP160
45246    chr11  57044540  57094189            TNKS1BP1
52086    chr11  57045190  57092278            TNKS1BP1
55505    chr11  57045406  57092187            TNKS1BP1
63442    chr11  57046832  57094591            TNKS1BP1
67104    chr11  57042709  57094905            TNKS1BP1
69595    chr11  57059952  57096188            TNKS1BP1
72240    chr11  57036783  57096377            TNKS1BP1
78954    chr11  57036532  57094578            TNKS1BP1
82354    chr11  57043295  57095871            TNKS1BP1
86059    chr11  57045127  57094913            TNKS1BP1
89733    chr11  57060643  57094682            TNKS1BP1
101004   chr11  57044849  57094232            TNKS1BP1
107293   chr11  57056488  57092356            TNKS1BP1
125704   chr11  57047325  57094490            TNKS1BP1
129813   chr11  57045000  57094183            TNKS1BP1
147513   chr11  57045205  57091244            TNKS1BP1
148563   chr11  57044511  57091825            TNKS1BP1
153142   chr11  57045246  57094225            TNKS1BP1
157164   chr11  57041476  57094920            TNKS1BP1
180219   chr11  57059752  57094143            TNKS1BP1
180791   chr11  57059752  57094143            TNKS1BP1
206610   chr11  57060975  57086227            TNKS1BP1
207448   chr11  57060875  57089906            TNKS1BP1
212580   chr11  57059960  57094442            TNKS1BP1
219069   chr11  57044847  57094485            TNKS1BP1
227369   chr11  57043463  57094602            TNKS1BP1
229596   chr11  57043683  57095053            TNKS1BP1
233825   chr11  57044872  57092328            TNKS1BP1
245835   chr11  57044028  57094773            TNKS1BP1
250580   chr11  57044818  57104365            TNKS1BP1
267249   chr11  57044802  57092306            TNKS1BP1
301914   chr11  57042785  57098290            TNKS1BP1
306689   chr11  57060208  57104421            TNKS1BP1
313769   chr11  57045541  57090759            TNKS1BP1
324020   chr11  57060184  57091077            TNKS1BP1
552      chr11  95920960  96001185            MIR1260B
2775     chr11  95975506  96006506            MIR1260B
4095     chr11  95926446  96013307            MIR1260B
6214     chr11  95975746  96006494            MIR1260B
11231    chr11  95921586  95997481            MIR1260B
20000    chr11  95920819  96006679            MIR1260B
23758    chr11  95920757  96010336            MIR1260B
29897    chr11  95920941  96001818            MIR1260B
31908    chr11  95940470  96001301            MIR1260B
32444    chr11  95940106  96012832            MIR1260B
35233    chr11  95926891  96007119            MIR1260B
36147    chr11  95927049  96006532            MIR1260B
38456    chr11  95919444  96077221            MIR1260B
40524    chr11  95918049  96007246            MIR1260B
43252    chr11  95920993  96001500            MIR1260B
54677    chr11  95959675  96073379            MIR1260B
60341    chr11  95919530  95997544            MIR1260B
62318    chr11  95919312  96022129            MIR1260B
62849    chr11  95974731  96014261            MIR1260B
65258    chr11  95920346  96013280            MIR1260B
68397    chr11  95920027  96001204            MIR1260B
69389    chr11  95765800  96012361            MIR1260B
71128    chr11  95920340  96001465            MIR1260B
80699    chr11  95867885  96001884            MIR1260B
82603    chr11  95920937  96012132            MIR1260B
84000    chr11  95919427  96012273            MIR1260B
85834    chr11  95920607  96001269            MIR1260B
87952    chr11  95930705  96006571            MIR1260B
102033   chr11  95975919  96006145            MIR1260B
103701   chr11  95975520  96006133            MIR1260B
104163   chr11  95975626  96012415            MIR1260B
104946   chr11  95932246  95997886            MIR1260B
108583   chr11  95920654  96012824            MIR1260B
126235   chr11  95959357  95997401            MIR1260B
126823   chr11  95958910  96014282            MIR1260B
141622   chr11  95926900  96014401            MIR1260B
142675   chr11  95920213  96020983            MIR1260B
145158   chr11  95961103  96009926            MIR1260B
145463   chr11  95944479  96013325            MIR1260B
146247   chr11  95959813  96014096            MIR1260B
149843   chr11  95936714  96013617            MIR1260B
152610   chr11  95939809  96001242            MIR1260B
154531   chr11  95919347  96077497            MIR1260B
156474   chr11  95919367  96077789            MIR1260B
161665   chr11  95945196  95996734            MIR1260B
166435   chr11  95838203  96013277            MIR1260B
166956   chr11  95844760  96013312            MIR1260B
168148   chr11  95844760  96013312            MIR1260B
169124   chr11  95838203  96013277            MIR1260B
172994   chr11  95986876  96024097            MIR1260B
174148   chr11  95975953  96001835            MIR1260B
183407   chr11  95919649  96014125            MIR1260B
183998   chr11  95919688  96077468            MIR1260B
185898   chr11  95932362  95996669            MIR1260B
186763   chr11  95921167  96012956            MIR1260B
196103   chr11  95947534  96077010            MIR1260B
201471   chr11  95919652  96014010            MIR1260B
206247   chr11  95974330  96048799            MIR1260B
213997   chr11  95975699  96012923            MIR1260B
214311   chr11  95778281  96077374            MIR1260B
215697   chr11  95975866  96006695            MIR1260B
215877   chr11  95865186  96118144            MIR1260B
218124   chr11  95991381  96077515            MIR1260B
221392   chr11  95869458  96009885            MIR1260B
229432   chr11  95918092  96012195            MIR1260B
230337   chr11  95919602  96013577            MIR1260B
231441   chr11  95918851  96012679            MIR1260B
232566   chr11  95917869  96013400            MIR1260B
253409   chr11  95940515  96013819            MIR1260B
259823   chr11  95919320  96077290            MIR1260B
261858   chr11  95888058  96077397            MIR1260B
262597   chr11  95862588  96077479            MIR1260B
276773   chr11  95931257  95999512            MIR1260B
288548   chr11  95973951  96001588            MIR1260B
289396   chr11  95920472  95999681            MIR1260B
299241   chr11  95949392  96014007            MIR1260B
300350   chr11  95972220  96001488            MIR1260B
313369   chr11  95944307  96013989            MIR1260B
314372   chr11  95920952  96013568            MIR1260B
1940     chr11 122993123 123031426                ASAM
60118    chr11 122981943 123069668                ASAM
64690    chr11 122971379 123047576                ASAM
67963    chr11 122970868 123067777                ASAM
83609    chr11 122970793 123067854                ASAM
125608   chr11 122982220 123082709                ASAM
156550   chr11 122981776 123091205                ASAM
157900   chr11 123015027 123067154                ASAM
183023   chr11 122973716 123074058                ASAM
184129   chr11 122971144 123132497                ASAM
201487   chr11 122982517 123110758                ASAM
256891   chr11 122970480 123082759                ASAM
300949   chr11 122980925 123069634                ASAM
305373   chr11 122971607 123069526                ASAM
326295   chr11 122981888 123067038                ASAM
24540    chr11 124616098 124648365                ESAM
24415    chr12  80579911  80621413            C12ORF64
42574    chr12  80579528  80637557            C12ORF64
203287   chr12  80579679  80611494            PPP1R12A
308650   chr12  80579783  80638055            C12ORF64
310302   chr12  80579578  80638091            C12ORF64
413.1    chr12 115173018 115245170                TBX3
23386.1  chr12 115173868 115273386                TBX3
67630.1  chr12 115205413 115245464                TBX3
165119   chr12 115204738 115229066                TBX3
222425   chr12 115200039 115221877                TBX3
24045    chr12 132344467 132381757                ULK1
37326    chr12 132336105 132382231                ULK1
56001    chr12 132338218 132397485                ULK1
147115   chr12 132341706 132382084                ULK1
222752   chr12 132335243 132388369                ULK1
325791   chr12 132335621 132382111                ULK1
328973   chr12 132335570 132398211                ULK1
66748    chr13  22039285  22069099             ZDHHC20
130506   chr13  25222806  25247570              ATP12A
148368   chr13  25221805  25247115              ATP12A
153787   chr13  25221139  25247444              ATP12A
218631   chr13  25223127  25246670              ATP12A
302408   chr13  25180179  25269709              ATP12A
71979    chr14  59654120  59696838               DAAM1
74509    chr14  59654062  59724800               DAAM1
75425    chr14  59653974  59705249               DAAM1
77478    chr14  59642956  59845817               DAAM1
297861   chr14  59653888  59841484               DAAM1
298708   chr14  59653175  59746358               DAAM1
23635    chr14  65787309  65841041                FUT8
59375    chr14  65748310  65827963                FUT8
100780   chr14  65800713  65828572                FUT8
162477   chr14  65749401  65825579                FUT8
166555   chr14  65748411  65840937                FUT8
167019   chr14  65748467  65840709                FUT8
168209   chr14  65748467  65840709                FUT8
169235   chr14  65748411  65840937                FUT8
220204   chr14  65800589  65827502                FUT8
23964    chr14  76094577  76109218             C14ORF1
67064.1  chr14  76043473  76117231              FLVCR2
78836.1  chr14  76043482  76118878              FLVCR2
86473    chr14  76074623  76124072              FLVCR2
294820   chr14  76096935  76117762             C14ORF1
295967   chr14  76101667  76116190             C14ORF1
114247   chr15  63283985  63312944                TPM1
156701   chr15  63211889  63288555                TPM1
200870   chr15  63288885  63303736                TPM1
309421   chr15  63255549  63308841                TPM1
310172   chr15  63267535  63296939                TPM1
23556    chr15  70452660  70497708                TLE3
224847   chr15  70439646  70510952                TLE3
248863   chr15  70443782  70494105                TLE3
249694   chr15  70426865  70519603                TLE3
252366   chr15  70445695  70493405                TLE3
257321   chr15  70434754  70493849                TLE3
322014   chr15  70432301  70516240                TLE3
322280   chr15  70381020  70520450                TLE3
245      chr15  74607068  74676806             CYP11A1
23329    chr15  74605813  74727735             CYP11A1
67189    chr15  74614933  74667093             CYP11A1
238697   chr15  74574812  74624305              CCDC33
239347   chr15  74582975  74623802              CCDC33
239885   chr15  74574990  74624258              CCDC33
240471   chr15  74575107  74623939              CCDC33
76998    chr15 101408835 101460877             ALDH1A3
134298   chr15 101421754 101434280             ALDH1A3
181321   chr15 101428444 101445382             ALDH1A3
182094   chr15 101428437 101452781             ALDH1A3
182653   chr15 101428614 101445193             ALDH1A3
190442   chr15 101419335 101433839             ALDH1A3
191151   chr15 101419895 101433569             ALDH1A3
307944   chr15 101421652 101433078             ALDH1A3
308342   chr15 101421482 101433340             ALDH1A3
316918   chr15 101420422 101434409             ALDH1A3
58208    chr16  12303036  12461976               SNX29
108165   chr16  12236793  12359766             RUNDC2A
120258   chr16  12306957  12416349             RUNDC2A
23816    chr16  24529697  24553915               RBBP6
243036   chr16  24528123  24568436               RBBP6
314507   chr16  24537384  24564849               RBBP6
23984    chr16  55689085  55705616              SLC6A2
137395   chr16  55684740  55695569              SLC6A2
137674   chr16  55671899  55699118              SLC6A2
146617   chr16  55693786  55704515              SLC6A2
209100   chr16  55686423  55697024              SLC6A2
223842   chr16  55671748  55699124              SLC6A2
224690   chr16  55669595  55697615              SLC6A2
248063   chr16  55669776  55701482              SLC6A2
252502   chr16  55676402  55696508              SLC6A2
253771   chr16  55672108  55697616              SLC6A2
256968   chr16  55673465  55715967              SLC6A2
257713   chr16  55670497  55696812              SLC6A2
258291   chr16  55668813  55707654              SLC6A2
261449   chr16  55669236  55696159              SLC6A2
274973   chr16  55684849  55696145              SLC6A2
275310   chr16  55671541  55698599              SLC6A2
315028   chr16  55670799  55698478              SLC6A2
23622    chr16  80642543  80675293             DYNLRB2
122889   chr16  80641770  80658389             DYNLRB2
123119   chr16  80639775  80657310             DYNLRB2
147098   chr16  80639747  80657016             DYNLRB2
3423     chr16  85557640  85608711            KIAA0182
6370     chr16  85558368  85645463            KIAA0182
10069    chr16  85546555  85608638            KIAA0182
15282    chr16  85547578  85618151            KIAA0182
23721    chr16  85577516  85614519            KIAA0182
34226    chr16  85547499  85662568            KIAA0182
36155    chr16  85575153  85618343            KIAA0182
41130    chr16  85563027  85712160            KIAA0182
42459    chr16  85524741  85663281            KIAA0182
50586    chr16  85556307  85656073            KIAA0182
53761    chr16  85568541  85606848            KIAA0182
74979    chr16  85564515  85694276            KIAA0182
78583    chr16  85547036  85614443            KIAA0182
87105    chr16  85567494  85609280            KIAA0182
89578    chr16  85546287  85660702            KIAA0182
96631    chr16  85547041  85592162            KIAA0182
97509    chr16  85557282  85606479            KIAA0182
109077   chr16  85428918  85651187            KIAA0182
109920   chr16  85575662  85662361            KIAA0182
113411   chr16  85547821  85661382            KIAA0182
119187   chr16  85556383  85604045            KIAA0182
120977   chr16  85547331  85604185            KIAA0182
135670   chr16  85562697  85590963            KIAA0182
137279   chr16  85542970  85591534            KIAA0182
138640   chr16  85470722  85725035            KIAA0182
141107   chr16  85545698  85606962            KIAA0182
146730   chr16  85448967  85692889            KIAA0182
164251   chr16  85574452  85648511            KIAA0182
167469   chr16  85468285  85650940            KIAA0182
187685   chr16  85562688  85609441            KIAA0182
200482   chr16  85548122  85592209            KIAA0182
208876   chr16  85574722  85661523            KIAA0182
223530   chr16  85469538  85708201            KIAA0182
223731   chr16  85543172  85708689            KIAA0182
224578   chr16  85542651  85687091            KIAA0182
226073   chr16  85547979  85615426            KIAA0182
227270   chr16  85571499  85608370            KIAA0182
238627   chr16  85541900  85700266            KIAA0182
239274   chr16  85574533  85697943            KIAA0182
239785   chr16  85541945  85637337            KIAA0182
240232   chr16  85547477  85715031            KIAA0182
240660   chr16  85556229  85597760            KIAA0182
243687   chr16  85545949  85609051            KIAA0182
247117   chr16  85523796  85688008            KIAA0182
247848   chr16  85545161  85662661            KIAA0182
249625   chr16  85545060  85662398            KIAA0182
251630   chr16  85542949  85662488            KIAA0182
251992   chr16  85448440  85596706            KIAA0182
253515   chr16  85545219  85687794            KIAA0182
254856   chr16  85547943  85590466            KIAA0182
255034   chr16  85453431  85708645            KIAA0182
255363   chr16  85574206  85687686            KIAA0182
256594   chr16  85148273  85717785            KIAA0182
257261   chr16  85542686  85688466            KIAA0182
257903   chr16  85546359  85660989            KIAA0182
260742   chr16  85545442  85662505            KIAA0182
261162   chr16  85545697  85593517            KIAA0182
263050   chr16  85574329  85607327            KIAA0182
265157   chr16  85547766  85605574            KIAA0182
266281   chr16  85547747  85605500            KIAA0182
267753   chr16  85547752  85604336            KIAA0182
269433   chr16  85572613  85660864            KIAA0182
270491   chr16  85556519  85617840            KIAA0182
270939   chr16  85556544  85617327            KIAA0182
271564   chr16  85556403  85609165            KIAA0182
272092   chr16  85556320  85611891            KIAA0182
272470   chr16  85556523  85610788            KIAA0182
274414   chr16  85543097  85661756            KIAA0182
274707   chr16  85546420  85661725            KIAA0182
275174   chr16  85545731  85687583            KIAA0182
275575   chr16  85381764  85686853            KIAA0182
276155   chr16  85556247  85611397            KIAA0182
277127   chr16  85556201  85617865            KIAA0182
277809   chr16  85547996  85613019            KIAA0182
283021   chr16  85547109  85611621            KIAA0182
289662   chr16  85574047  85650515            KIAA0182
292149   chr16  85574738  85609302            KIAA0182
295498   chr16  85576395  85598814            KIAA0182
296919   chr16  85574738  85609302            KIAA0182
301703   chr16  85157180  85601520           LOC400548
306508   chr16  85448544  85725164            KIAA0182
314977   chr16  85542920  85686972            KIAA0182
317218   chr16  85546465  85618161            KIAA0182
191      chr17   8021854   8104105               VAMP2
2341     chr17   8041380   8104189               VAMP2
3263     chr17   8041517   8104357               VAMP2
3940     chr17   8012957   8104207                PER1
4568     chr17   8040905   8104516               VAMP2
5311     chr17   8041299   8104239               VAMP2
7622     chr17   8041506   8104147               VAMP2
12702    chr17   8020824   8103911               VAMP2
14307    chr17   8021719   8104061               VAMP2
15251    chr17   8041748   8103760               VAMP2
18916    chr17   8021737   8104114               VAMP2
20027    chr17   8021753   8104211               VAMP2
20979    chr17   8041215   8104227               VAMP2
23399    chr17   8020449   8104962               VAMP2
24644    chr17   8041602   8103860               VAMP2
25219    chr17   8042250   8103687               VAMP2
25733    chr17   8021591   8104031               VAMP2
26919    chr17   8041547   8104065               VAMP2
27712    chr17   8021018   8104168               VAMP2
29209    chr17   8021398   8104105               VAMP2
29847    chr17   8041352   8104242               VAMP2
31041    chr17   8021806   8104068               VAMP2
32076    chr17   8041466   8103842               VAMP2
33349    chr17   8021071   8104054               VAMP2
34137    chr17   8021197   8104330               VAMP2
35102    chr17   8041189   8104236               VAMP2
35972    chr17   8041410   8104082               VAMP2
87591    chr17   8088403   8096718            C17ORF59
97681    chr17   8041427   8103909               VAMP2
101467   chr17   8013252   8103783                <NA>
106771   chr17   8012654   8104124                PER1
108032   chr17   8012924   8104251                PER1
110377   chr17   8056707   8104947             TMEM107
113502   chr17   8023155   8103582               VAMP2
116674   chr17   8041367   8104130               VAMP2
117563   chr17   8036891   8103716               VAMP2
118194   chr17   8041603   8104049               VAMP2
119222   chr17   8041636   8104084               VAMP2
119965   chr17   8020648   8103826               VAMP2
121007   chr17   8041453   8103864               VAMP2
122120   chr17   8054749   8103938             TMEM107
134952   chr17   8020654   8109062               VAMP2
160478   chr17   8042138   8104070             TMEM107
161445   chr17   8021631   8104401               VAMP2
168184   chr17   8013063   8104324                PER1
169183   chr17   8020582   8104229               VAMP2
279953   chr17   8021349   8104283               VAMP2
280572   chr17   8028518   8104314               VAMP2
280773   chr17   8042286   8103614               VAMP2
328407   chr17   8020539   8104309               VAMP2
2042     chr17   9131363   9145241                NTN1
7777     chr17   9052042   9160704                NTN1
23767    chr17   9119350   9145349                NTN1
34174    chr17   9044019   9197156                NTN1
68739    chr17   9120132   9149085                NTN1
71633    chr17   9109213   9177565                NTN1
72154    chr17   9047658   9177800                NTN1
74425    chr17   9109483   9161324                NTN1
80216    chr17   9109515   9161478                NTN1
84381    chr17   9109085   9150306                NTN1
88874    chr17   9108838   9161192                NTN1
89879    chr17   9108921   9162043                NTN1
14879    chr17  12629585  12648633               MYOCD
24366    chr17  12628705  12638214            ARHGAP44
42455    chr17  12567954  12648727               MYOCD
77637    chr17  12567715  12650347               MYOCD
297893   chr17  12567400  12651222               MYOCD
298689   chr17  12566908  12651366               MYOCD
194269   chr17  74600073  74636962          ST6GALNAC1
212675   chr17  74576548  74610232          ST6GALNAC2
23574    chr18  11941859  11996565               IMPA2
79946    chr18  11937861  12039481               IMPA2
165092   chr18  11926923  11984086               IMPA2
2454     chr19  14095465  14126997                RFX1
3870     chr19  14114809  14137765                RFX1
8326     chr19  14088668  14122288                RFX1
21020    chr19  14095705  14127042                RFX1
24055    chr19  14094198  14138434                RFX1
40610    chr19  14095046  14126911                RFX1
80801    chr19  14088459  14135336                RFX1
188074   chr19  14091519  14126739                RFX1
262455   chr19  14095857  14135239                RFX1
276336   chr19  14088419  14137007                RFX1
24208    chr19  23492312  23507778               ZNF91
148648   chr19  23492199  23505170               ZNF91
198467   chr19  23492334  23499913               ZNF91
23583.1  chr19  40029582  40100741             LGALS13
23884    chr19  40165936  40202803             LGALS14
124428   chr19  43377788  43420597                PSG1
134880   chr19  43377976  43441503                PSG6
231471   chr19  43377169  43441249                PSG6
236110   chr19  43377891  43404326                PSG1
238249   chr19  43375231  43420127                PSG1
322198   chr19  43378128  43405825                PSG1
174637.1 chr19  43458526  43479703                PSG7
188674.2 chr19  43458753  43536610               PSG11
231786.2 chr19  43467353  43509117               PSG11
164780   chr19  53167401  53204535               ZNF83
165398   chr19  53359162  53377280              ZNF468
23379    chr19  54079708  54175015                DPRX
98155    chr19  54096190  54117200           LOC284379
113675   chr19  54084487  54130913           LOC284379
197638   chr19  54101950  54149735                DPRX
269288   chr19  54095941  54118158           LOC284379
284313   chr19  54096200  54126501           LOC284379
9031     chr19  54163598  54172917            MIR512-2
23379.1  chr19  54079708  54175015                DPRX
47122    chr19  54163655  54173153            MIR512-2
47755    chr19  54163297  54173239            MIR512-2
98846    chr19  54163837  54173222            MIR512-2
110080   chr19  54145565  54177724            MIR512-2
116116   chr19  54162957  54174232            MIR512-2
164569   chr19  54161707  54175870            MIR512-2
166168   chr19  54161751  54173388            MIR512-2
269127   chr19  54161080  54174307            MIR512-2
313126   chr19  54164638  54173055            MIR512-2
23717     chr2  10876705  10916735            ATP6V1C2
8231      chr2  20308461  20346376             LAPTM4A
23332     chr2  20248822  20354144             LAPTM4A
101142    chr2  20308298  20346231             LAPTM4A
129681    chr2  20290471  20437512                SDC1
141652    chr2  20305624  20357809             LAPTM4A
146191    chr2  20290448  20350178             LAPTM4A
153015    chr2  20306375  20437563                SDC1
218356    chr2  20306235  20357848             LAPTM4A
219070    chr2  20308556  20346002             LAPTM4A
220574    chr2  20292797  20399268                SDC1
282505    chr2  20306660  20349579             LAPTM4A
283011    chr2  20303391  20357434             LAPTM4A
301685    chr2  20263701  20443314                SDC1
492       chr2  28765370  28818180               FOSL2
24032     chr2  28765281  28783332               FOSL2
200855    chr2  28764395  28790355                PLB1
23577     chr2  64993584  65018345             SERTAD2
60347     chr2  64993052  65068483             SERTAD2
62433     chr2  64993583  65067658             SERTAD2
141314    chr2  64975235  65028275             SERTAD2
159086    chr2  64993644  65035741             SERTAD2
231886    chr2  64993123  65035836             SERTAD2
238615    chr2  64993855  65010392             SERTAD2
250667    chr2  64972039  65037134             SERTAD2
253217    chr2  64993041  65035751             SERTAD2
260418    chr2  64992958  65036660             SERTAD2
298484    chr2  64976451  65024188             SERTAD2
299126    chr2  64975768  65023265             SERTAD2
314192    chr2  64993818  65035528             SERTAD2
319289    chr2  64993639  65036313             SERTAD2
319957    chr2  64993897  65035878             SERTAD2
23854     chr2  70251250  70276311           LOC400960
82018     chr2  70201634  70277123           LOC400960
149489    chr2  70229558  70275306           LOC400960
149815    chr2  70142034  70275164              ASPRV1
151434    chr2  70201821  70336459           LOC400960
